user_id,item_id,score
0,3847,0.0
0,1917,0.0
0,2460,1.0
0,12321,1.0
0,9105,0.0
0,12404,1.0
0,154,1.0
0,9637,1.0
0,8484,1.0
0,8245,0.0
0,3873,1.0
0,9102,1.0
0,5444,1.0
0,11444,1.0
0,8784,0.0
0,4627,1.0
0,10115,1.0
0,6795,1.0
0,4160,1.0
0,13428,1.0
0,10009,1.0
0,9106,1.0
0,9111,1.0
0,3877,1.0
0,10019,0.0
0,9110,1.0
0,1921,1.0
0,10025,1.0
0,1918,0.0
0,7650,1.0
0,8491,1.0
0,12317,1.0
0,431,1.0
0,9542,1.0
0,8251,1.0
0,14045,1.0
0,8247,1.0
0,3870,1.0
0,1387,1.0
0,6797,0.0
0,12384,1.0
0,1914,1.0
0,8494,0.0
0,4998,1.0
0,10002,0.0
0,3862,0.0
0,156,1.0
0,4995,0.0
0,8253,1.0
0,2713,1.0
0,10003,1.0
0,3863,1.0
0,9999,1.0
0,2716,1.0
0,1913,1.0
0,15717,1.0
0,153,1.0
0,14699,1.0
0,12410,1.0
0,5443,1.0
0,15760,1.0
0,2461,1.0
0,6801,1.0
0,14330,0.0
0,16465,0.0
0,1374,1.0
0,0,1.0
0,8492,1.0
0,2456,0.0
0,1395,1.0
0,7644,1.0
0,7711,0.0
0,5438,1.0
0,7365,1.0
0,7646,1.0
0,10114,0.0
0,5000,1.0
0,432,1.0
0,15765,1.0
0,10018,0.0
0,15761,1.0
0,16375,1.0
0,9100,1.0
0,8481,1.0
0,9846,1.0
0,7226,1.0
0,10119,1.0
0,4988,0.0
0,14707,1.0
0,6793,1.0
0,14336,1.0
0,9543,1.0
0,1912,1.0
0,4989,1.0
0,13558,1.0
0,8254,1.0
0,12922,1.0
0,8489,1.0
0,8031,1.0
0,14511,1.0
0,5923,1.0
0,1916,1.0
0,7636,1.0
0,10014,1.0
0,8250,1.0
0,12413,1.0
0,6473,1.0
0,4983,1.0
0,4993,1.0
0,6469,1.0
0,3513,1.0
0,5448,1.0
0,8248,1.0
0,3867,1.0
0,2715,1.0
0,6803,1.0
0,14703,1.0
0,6794,0.0
0,14044,1.0
0,7438,1.0
0,12405,1.0
0,144,1.0
0,6808,1.0
0,10020,1.0
0,8488,0.0
0,7362,1.0
0,16472,1.0
0,10011,1.0
0,6787,1.0
0,9541,0.0
0,3850,0.0
0,6468,1.0
0,16373,1.0
0,12408,1.0
0,10675,1.0
0,6810,0.0
0,10007,1.0
0,6467,1.0
0,4872,1.0
0,13968,1.0
0,16459,0.0
0,5929,1.0
0,10026,1.0
0,6807,1.0
0,5434,1.0
0,4407,1.0
0,5924,1.0
0,10017,1.0
0,14333,1.0
0,8500,1.0
0,14697,1.0
0,2463,1.0
0,150,1.0
0,9119,1.0
0,4162,1.0
0,7648,0.0
0,14709,1.0
0,3875,1.0
0,5445,1.0
0,4991,1.0
0,12397,1.0
0,1388,1.0
0,9544,1.0
0,12919,1.0
0,4164,1.0
0,146,1.0
0,6791,0.0
0,3868,1.0
0,15762,1.0
0,9096,1.0
0,7700,1.0
0,8493,1.0
0,4373,1.0
0,12414,1.0
0,10023,0.0
0,10016,1.0
0,3855,1.0
0,9109,1.0
0,7640,1.0
0,2459,0.0
0,575,1.0
0,8246,1.0
0,12407,1.0
0,3872,0.0
0,9843,1.0
0,7227,1.0
0,9641,1.0
0,14701,1.0
0,14201,1.0
0,9639,1.0
0,12319,1.0
0,16473,1.0
0,9844,1.0
0,4990,1.0
0,13967,1.0
0,14706,1.0
0,7354,1.0
0,14710,1.0
0,7710,1.0
0,5437,1.0
0,3852,0.0
0,6792,1.0
0,6814,0.0
0,11909,1.0
0,9116,1.0
0,11905,1.0
0,3859,1.0
0,6796,0.0
0,10008,0.0
0,14700,0.0
0,2462,1.0
0,7645,1.0
0,16471,1.0
0,6472,1.0
0,3856,0.0
